SpecName,accGenus,accSpecies,PalmTribe,PalmSubfamily,Climbing,Acaulescence,Errect,UnderstoreyCanopy,StemSolitary,MaxStemHeight_m,MaxStemDia_cm,StemArmed,LeavesArmed,MaxLeafNumber,Max_Blade_Length_m,Max_Rachis_Length_m,Max_Petiole_length_m,AverageFruitLength_cm,MinFruitLength_cm,MaxFruitLength_cm,AverageFruitWidth_cm,MinFruitWidth_cm,MaxFruitWidth_cm,FruitSizeBinary,FruitShape,FruitColor,FruitTexture,FruitColorChange,FruitNotes,Extra reference / note
Actinokentia divaricata,Actinokentia,divaricata,Areceae,Arecoideae,0,0,1,canopy,1,9,9,0,0,7,2.35,2.1,1.3,2.6,1.8,3.4,1.1,0.8,1.4,small,globose,purplish,,,,Kew herbaria
Actinokentia huerlimannii,Actinokentia,huerlimannii,Areceae,Arecoideae,0,0,1,canopy,1,9,36,0,0,10,1.2,,0.22,3,,,1.30,,,small,globose,,,,,Moore 197
Actinorhytis calapparia,Actinorhytis,calapparia,Areceae,Arecoideae,0,0,1,canopy,1,40,30,0,0,13,4.76,4.3,0.51,10,,,5.5,5,6,large,ovoid,reddish,,,,
Adonidia maturbongsii,Adonidia,maturbongsii,Areceae,Arecoideae,0,0,1,,1,,,0,0,,,,,2.3,,,1.00,,,small,,,,,,Kew herbaria
Adonidia merrillii,Adonidia,merrillii,Areceae,Arecoideae,0,0,1,canopy,1,7,30,0,0,17,2.2,2,0.22,2.5,,,1.3,,,small,elongate,red,,,,
Aiphanes acanthophylla,Aiphanes,acanthophylla,Cocoseae,Arecoideae,0,0,1,,,,,,1,,,,,1.4,,,1.40,,,small,,bright red,,,,Kew herbaria
Aiphanes acaulis,Aiphanes,acaulis,Cocoseae,Arecoideae,0,1,0,understorey,1,0,,0,1,10,1.83,1.33,0.33,1,,,1,,,small,,from purple to vine red,,,,
Aiphanes bicornis,Aiphanes,bicornis,Cocoseae,Arecoideae,0,0,1,understorey,1,0.5,2.5,1,1,13,0.54,0.54,,0.6,,,0.8,,,small,ovoid,red-orange,,,,
Aiphanes buenaventurae,Aiphanes,buenaventurae,Cocoseae,Arecoideae,0,0,1,,,,,,1,,,,,,,,,,,,,,,,,
Aiphanes chiribogensis,Aiphanes,chiribogensis,Cocoseae,Arecoideae,0,0,1,understorey,1,3,6,1,1,9,1.45,1,0.5,1.1,,,1.1,1,1.2,small,globose,red,,,,
Aiphanes deltoidea,Aiphanes,deltoidea,Cocoseae,Arecoideae,0,0,1,understorey,2,2,6,1,1,12,2.95,1.9,1.1,1.3,,,0.7,,,small,globose,yellow,,,,
Aiphanes duquei,Aiphanes,duquei,Cocoseae,Arecoideae,0,0,1,understorey,1,5,5,1,1,9,1.35,1.1,0.28,1.05,0.9,1.2,,,,small,globose,red,,,Fruits: with an apical beak 4-6 mm long,
Aiphanes eggersii,Aiphanes,eggersii,Cocoseae,Arecoideae,0,0,1,canopy,0,10,8,1,1,10,2.2,2.05,0.17,1.75,,,1.75,1.5,2,small,ovoid,bright red,,,,
Aiphanes erinacea,Aiphanes,erinacea,Cocoseae,Arecoideae,0,0,1,understorey,0,5,5,1,1,8,2.2,1.65,0.6,0.75,,,0.75,0.7,0.8,small,globose,dark red soon turning brown or black,,1,,
Aiphanes gelatinosa,Aiphanes,gelatinosa,Cocoseae,Arecoideae,0,0,1,canopy,2,9,10,1,1,11,5.6,4,1.7,1.5,,,1.5,1,1.5,small,globose,"red with black apex, becomming brown or shiny black at maturity",often covered by a jelly-like substance,1,,
Aiphanes graminifolia,Aiphanes,graminifolia,Cocoseae,Arecoideae,0,0,1,understorey,0,5,2,1,1,6,0.89,0.89,,0.5,,,0.5,,,small,,,,,,
Aiphanes grandis,Aiphanes,grandis,Cocoseae,Arecoideae,0,0,1,canopy,1,21,20,1,1,10,5.5,2.5,2.75,2.15,,,2.15,2,3,small,elongate,dull green,"covered with soft, black, easily removed spinules about 1 mm long",,,
Aiphanes hirsuta,Aiphanes,hirsuta,Cocoseae,Arecoideae,0,0,1,canopy,0,10,10,1,1,8,2.94,1.94,,1.35,,,1.35,0.7,2,small,globose,red or less often purple or white; pinkish red,,,Acc to Borchenius fruits ca. 2 cm in diam,
Aiphanes horrida,Aiphanes,horrida,Cocoseae,Arecoideae,0,0,1,canopy,1,10,15,1,1,15,2,,,1.95,1.6,2.3,1.95,1.6,2.3,small,ovoid,"bright red, rarely orange or white, with orange mesocarp",,,,
Aiphanes leiostachys,Aiphanes,leiostachys,Cocoseae,Arecoideae,0,0,1,understorey,0,5,3,1,1,11,2.08,1.08,,,,,,,,,globose,,,,,
Aiphanes lindeniana,Aiphanes,lindeniana,Cocoseae,Arecoideae,0,0,1,canopy,2,7,10,1,1,10,1.31,0.75,0.61,1.5,,,1.5,1.4,1.6,small,,red to orange,,,,
Aiphanes linearis,Aiphanes,linearis,Cocoseae,Arecoideae,0,0,1,canopy,0,12,12,1,1,9,2.73,2.39,0.49,4.5,,,2.65,1.8,3.5,large,globose,,densely covered with golden spiules to 1 cm long; covering of yellow hairs,,,
Aiphanes macroloba,Aiphanes,macroloba,Cocoseae,Arecoideae,0,0,1,understorey,0,3,3,1,1,8,1.86,1.5,0.41,1,,,0.7,,,small,ovoid,red to orange,,,,
Aiphanes minima,Aiphanes,minima,Cocoseae,Arecoideae,0,0,1,canopy,1,18,50,1,1,9,4.2,3,1.25,1.4,1.2,1.6,1.55,1.4,1.7,small,globose,red,,,,
Aiphanes multiplex,Aiphanes,multiplex,Cocoseae,Arecoideae,0,0,1,,,,,,1,,,,,1.6,,,1.45,,,small,,red,,,,Bernal et al. 21
Aiphanes parvifolia,Aiphanes,parvifolia,Cocoseae,Arecoideae,0,0,1,understorey,1,2,3,0,1,10,0.95,0.7,0.28,0.85,0.7,1,,,,small,,orange to red,,,,
Aiphanes pilaris,Aiphanes,pilaris,Cocoseae,Arecoideae,0,0,1,canopy,1,7,15,1,1,10,,,,4.7,,,4.7,,,large,ovoid,brown,corky at maturity,,,
Aiphanes simplex,Aiphanes,simplex,Cocoseae,Arecoideae,0,0,1,understorey,0,4,2,1,1,9,0.96,0.7,0.29,0.9,,,0.9,0.8,1,small,ovoid,red,,,,
Aiphanes spicata,Aiphanes,spicata,Cocoseae,Arecoideae,0,1,0,understorey,1,0.3,2,0,1,12,1.05,0.8,0.25,1,,,0.90,,,small,,,,,,Palmworld
Aiphanes stergiosii,Aiphanes,stergiosii,Cocoseae,Arecoideae,0,0,1,,,,,1,1,,,,,,,,,,,,ovoid,red-orange,,,,Jstor Global Plants
Aiphanes tricuspidata,Aiphanes,tricuspidata,Cocoseae,Arecoideae,0,0,1,understorey,1,4.5,6,1,1,10,1.38,1.2,0.2,0.75,,,0.75,0.6,1,small,,reddish-brown; speckled brown and red,,,,
Aiphanes ulei,Aiphanes,ulei,Cocoseae,Arecoideae,0,0,1,canopy,1,6,5,1,1,15,2.5,1.8,0.75,0.7,,,0.7,,1,small,,red,,,,
Aiphanes verrucosa,Aiphanes,verrucosa,Cocoseae,Arecoideae,0,0,1,canopy,0,8,5,1,1,5,1.3,1.15,0.17,2.25,,,2.25,2,2.5,small,globose,greenish white,"first smooth, soon becomming corky at top",,,
Aiphanes weberbaueri,Aiphanes,weberbaueri,Cocoseae,Arecoideae,0,0,1,understorey,2,1.5,6,0,1,13,2,1.2,,0.85,,,0.85,0.7,1,small,ovoid,red to purple,,,,
Allagoptera arenaria,Allagoptera,arenaria,Cocoseae,Arecoideae,0,1,0,understorey,2,0.2,15,0,0,15,1.8,,1,1.6,1.2,2,1.15,1,1.3,small,,yellowish green,smooth or with some tomentum,,,
Allagoptera brevicalyx,Allagoptera,brevicalyx,Cocoseae,Arecoideae,0,1,0,understorey,2,2,,0,0,8,1.2,,0.34,1.75,1.5,2,1.25,1,1.5,small,ovoid,yellowish green,smooth,,Fruits: the presistent perianth enclosing about 1/4 of the fruit,
Allagoptera campestris,Allagoptera,campestris,Cocoseae,Arecoideae,0,1,0,understorey,1,0.2,,0,0,10,0.97,0.66,0.34,1.35,1.2,1.5,0.6,0.5,0.7,small,globose,yellowish green,with loose brown hairs,,Fruits: the presistent perianth enclosing about half the fruit,
Allagoptera caudescens,Allagoptera,caudescens,Cocoseae,Arecoideae,0,0,1,canopy,1,8,25,0,0,16,4,,0.61,4.25,4,4.5,3.25,3,3.5,large,ovoid,greenish brown,,,,
Allagoptera leucocalyx,Allagoptera,leucocalyx,Cocoseae,Arecoideae,0,1,0,understorey,1,2,,0,0,30,2,1.3,0.75,2.65,2.3,3,1.75,1.5,2,small,ovoid,yellowish green,densely covered with brown hairs; loose cottony hairs,,,
Ammandra decasperma,Ammandra,decasperma,Phytelepheae,Ceroxyloideae,0,1,0,understorey,1,1.5,15,0,0,10,4.5,4,3.25,10,,,10,8,12,large,globose,dark brown,,,,
Aphandra natalia,Aphandra,natalia,Phytelepheae,Ceroxyloideae,0,0,1,canopy,1,11,30,0,0,36,6,5.4,1.6,4.75,,3.2,3.20,,,large,rounded,brown,with prominent warty projections,,,Kew herbaria
Archontophoenix alexandrae,Archontophoenix,alexandrae,Areceae,Arecoideae,0,0,1,canopy,1,30,30,0,0,12,4.5,4,0.55,1.1,0.8,1.4,0.85,0.6,1.1,small,ovoid,bright red,"smooth, waxy and glossy",,,
Archontophoenix cunninghamiana,Archontophoenix,cunninghamiana,Areceae,Arecoideae,0,0,1,canopy,1,30,30,0,0,12,4.5,4,0.55,1.25,1,1.5,1.1,,1.5,small,ovoid,bright red,waxy,,,
Archontophoenix maxima,Archontophoenix,maxima,Areceae,Arecoideae,0,0,1,canopy,1,22,30,0,0,11,5,3.4,1.7,1.25,1.1,1.4,0.9,0.7,1.1,small,globose,red,"smooth, waxy and glossy",,,
Archontophoenix myolensis,Archontophoenix,myolensis,Areceae,Arecoideae,0,0,1,canopy,1,20,30,0,0,12,4,3.8,0.22,1.7,1.3,2.1,1.1,1,1.2,small,globose,red,waxy,,,
Archontophoenix purpurea,Archontophoenix,purpurea,Areceae,Arecoideae,0,0,1,canopy,1,25,45,0,0,15,6,4,2.1,2.3,2,2.6,2,1.8,2.2,small,globose,red-crimson; dark red,"smooth, glossy",,,
Archontophoenix tuckeri,Archontophoenix,tuckeri,Areceae,Arecoideae,0,0,1,canopy,1,20,26,0,0,12,3.15,1.75,1.45,2,1.5,2.5,1.25,1,1.5,small,ovoid,bright red to dark brick red at maturity (drying dark ocre),glossy,1,,
Areca abdulrahmanii,Areca,abdulrahmanii,Areceae,Arecoideae,0,1,0,understorey,1,2.5,1.3,0,0,,1,,,4,,,1.2,,,large,,,,,,
Areca ahmadii,Areca,ahmadii,Areceae,Arecoideae,0,1,0,understorey,1,0.08,2.5,0,0,,1,0.58,0.47,4.3,,,2,,,large,globose,black ,,,,Kew herbaria
Areca andersonii,Areca,andersonii,Areceae,Arecoideae,0,1,0,understorey,1,2.5,1.3,0,0,,0.8,0.8,,2.1,,,0.7,,,small,ovoid,deep green,,,,Kew herbaria
Areca arundinacea,Areca,arundinacea,Areceae,Arecoideae,0,1,0,understorey,0,2.5,0.8,0,0,8,0.5,,,1.9,,,1.1,,,small,elongate,bright red,,,,Kew herbaria
Areca bakeri,Areca,bakeri,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,6.26,6,6.5,1.40,1.3,1.45,large,,young fruit dark green,,,,"Kew herbaria, Heatubun 211"
Areca brachypoda,Areca,brachypoda,Areceae,Arecoideae,0,1,0,understorey,1,0.06,0.3,0,0,,1.15,,0.45,2.2,,,0.5,,,small,globose,,,,,
Areca caliso,Areca,caliso,Areceae,Arecoideae,0,0,1,canopy,1,6,12,0,0,6,2.15,,,3,,,1.6,,,small,globose,Bright orange,,,,Palmpedia
Areca camarinensis,Areca,camarinensis,Areceae,Arecoideae,0,0,1,understorey,1,3,9,0,0,,1.5,,,5,3.5,5.5,1.7,1.5,2.5,large,globose,green to orange to red,,,,Kew herbaria
Areca catechu,Areca,catechu,Areceae,Arecoideae,0,0,1,canopy,1,25,30,0,0,10,3.15,2.05,1.25,6.5,5,8,4.75,3.5,6,large,ovoid,"ripening yellow, orange, red; to scarlet",,1,,
Areca chaiana,Areca,chaiana,Areceae,Arecoideae,0,0,1,understorey,1,3,8,0,0,,1.15,,0.7,3,,,0.8,,,small,elongate,red to black,,,,Kew herbaria
Areca churchii,Areca,churchii,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,dull green,,,,Kew herbaria
Areca concinna,Areca,concinna,Areceae,Arecoideae,0,0,1,understorey,0,5,6,0,0,8,2,1.5,0.18,3,,,1.2,,,small,ovoid,"red; scarlet, from green to orange to red",,,,Kew herbaria
Areca congesta,Areca,congesta,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,
Areca costulata,Areca,costulata,Areceae,Arecoideae,0,0,1,understorey,1,5,,0,0,,,,,,,,,,,,globose,,,,,
Areca dayung,Areca,dayung,Areceae,Arecoideae,0,0,1,,0,,1,0,0,,,,,,,,,,,,globose,,,,,
Areca dransfieldii,Areca,dransfieldii,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,3.8,,,1,,,small,,dark green in immature fruit,,,,Heatubun 211
Areca furcata,Areca,furcata,Areceae,Arecoideae,0,0,1,understorey,0,2,2,0,0,,,,,1,,,0.4,,,small,ovoid,"pale yellow to red, bright red",,,,Kew herbaria Kew herbaria
Areca gurita,Areca,gurita,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,2,,,1,,,small,,white with green in immature fruit,,,,Heatubun 211
Areca hutchinsoniana,Areca,hutchinsoniana,Areceae,Arecoideae,0,0,1,understorey,1,3,3,0,0,,2,,,3,,,1.7,,,small,globose,white to yellow to red,,,,Kew herbaria
Areca insignis,Areca,insignis,Areceae,Arecoideae,0,1,0,understorey,1,3.5,2.5,0,0,10,1.2,1.2,0,2.2,,,1,,,small,globose,moroon with green tip,,,,Kew herbaria
Areca ipot,Areca,ipot,Areceae,Arecoideae,0,0,1,understorey,1,4,12.7,0,0,,2.4,2.4,,5,,,3,,,large,,red,,,,
Areca jugahpunya,Areca,jugahpunya,Areceae,Arecoideae,0,1,0,understorey,2,1.5,15,0,0,,2.5,1.5,,5.5,,,1,,,large,,immature dark green,,,,Kew herbaria
Areca kinabaluensis,Areca,kinabaluensis,Areceae,Arecoideae,0,0,1,understorey,1,5,2.5,0,0,6,1.5,,1.85,2,,,0.8,,,small,globose,whitish green to reddish,,,,Kew herbaria
Areca klingkangensis,Areca,klingkangensis,Areceae,Arecoideae,0,0,1,understorey,1,4,10,0,0,,1.5,1.15,0.4,2.6,,,0.5,,,small,globose,yellow,,,,Kew herbaria
Areca laosensis,Areca,laosensis,Areceae,Arecoideae,0,0,1,canopy,2,6,4,0,0,12,1.26,1.19,0.09,7.5,7,8,5.5,5,6,large,ovoid,"orange, infrequently yellow",,,,
Areca ledermanniana,Areca,ledermanniana,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,ovoid,,,,,
Areca macrocalyx,Areca,macrocalyx,Areceae,Arecoideae,0,0,1,canopy,1,10,10,0,0,12,4,4,,3.75,3.5,4,2.5,,,small,ovoid,yellow to orange,,,,Kew herbaria
Areca mandacanii,Areca,mandacanii,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,4.49,,,2.29,,,large,,,,,,Kew herbaria
Areca minuta,Areca,minuta,Areceae,Arecoideae,0,0,1,understorey,2,2,1.5,0,0,,0.3,0.3,,1.2,,,0.4,,,small,ovoid,orange to cherry red,,,,Kew herbaria
Areca mogeana,Areca,mogeana,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,1.5,,,0.3,,,small,,light orange to red and darker red at tip in immature fruits,,,,Heatubun 211
Areca montana,Areca,montana,Areceae,Arecoideae,0,0,1,understorey,1,4,8,0,0,8,1.75,1.35,0.45,2.5,,,1.35,1.2,1.5,small,ovoid,deep red,,,,Kew herbaria
Areca novohibernica,Areca,novohibernica,Areceae,Arecoideae,0,0,1,understorey,1,4,,0,0,5,1.5,,0.17,3.2,,,1.35,,,small,,green turning bright red,,,,Kew herbaria
Areca oxycarpa,Areca,oxycarpa,Areceae,Arecoideae,0,0,1,understorey,1,2,2.5,0,0,8,1.5,1.1,0.45,2.5,,,1.3,,,small,globose,bright ochrish yellow,,,,Kew herbaria
Areca parens,Areca,parens,Areceae,Arecoideae,0,0,1,canopy,1,25,15,0,0,,2.1,,,6,,,4,,,large,ovoid,white to green to reddish-orange,,,,Kew herbaria
Areca rheophytica,Areca,rheophytica,Areceae,Arecoideae,0,0,1,understorey,1,2,2,0,0,8,0.4,0.31,0.11,2,,,0.7,,,small,globose,"Pink, merah jambu, red",,,,Kew herbaria
Areca ridleyana,Areca,ridleyana,Areceae,Arecoideae,0,0,1,understorey,2,2.5,,0,0,10,0.3,,,0.5,,0.8,0.4,,,small,,brilliant red,,,,
Areca riparia,Areca,riparia,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,2.4,2,2.8,1.25,1,1.5,small,,bright crimson skin and flesh,,,,"Kew herbaria, Heatubun 211"
Areca songthanhensis,Areca,songthanhensis,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,,,,,
Areca subacaulis,Areca,subacaulis,Areceae,Arecoideae,0,1,0,understorey,1,1.5,3.5,0,0,6,1,,,2.5,,,1.1,,,small,,purple,,,,Kew herbaria
Areca triandra,Areca,triandra,Areceae,Arecoideae,0,0,1,canopy,0,6,7,0,0,7,2,1.8,0.22,2.5,,,1.5,,,small,,red; bright orange-red; pinkish-red,,,,Kew herbaria
Areca triginticollina,Areca,triginticollina,Areceae,Arecoideae,0,0,1,,,,,0,0,,,,,,,,,,,,,young fruits green,,,,Kew herbaria
Areca tunku,Areca,tunku,Areceae,Arecoideae,0,0,1,understorey,1,5,6,0,0,10,2.5,2.5,,4.5,,,3,,,large,globose,"purple-brown, dull",,,,
Areca vestiaria,Areca,vestiaria,Areceae,Arecoideae,0,0,1,canopy,2,15,12,0,0,,2.22,1.82,0.45,2,,,1.15,,,small,globose,"deep orange, orange-red",,,,Kew herbaria
Areca vidaliana,Areca,vidaliana,Areceae,Arecoideae,0,0,1,understorey,1,3,5,0,0,7,1.5,1.2,0.33,1.4,,,0.5,,,small,,red,,,,Kew herbaria
Areca whitfordii,Areca,whitfordii,Areceae,Arecoideae,0,0,1,canopy,1,10,20,0,0,,,,,4.5,4,5,2,,,large,globose,brownish,,,,
Arenga australasica,Arenga,australasica,Caryoteae,Coryphoideae,0,0,1,canopy,0,20,30,0,0,18,4,3.5,0.55,1.7,0.8,2.6,1.8,0.8,2.8,small,globose,red,smooth to slightly rughened,,,
Arenga brevipes,Arenga,brevipes,Caryoteae,Coryphoideae,0,0,1,canopy,0,15,35,0,0,10,5,5,,2.65,1.3,4,2.05,1.1,3,small,ovoid,light green to dark purplish black,,,,Kew herbaria
Arenga caudata,Arenga,caudata,Caryoteae,Coryphoideae,0,0,1,understorey,0,1.5,2,0,0,10,1,0.6,0.45,1.5,,,0.8,,,small,globose,red; orange red,,,,
Arenga distincta,Arenga,distincta,Caryoteae,Coryphoideae,0,0,1,understorey,0,5,1.5,0,0,9,,,,1,,,0.92,,,small,globose,green to brown,,,,Kew herbaria
Arenga engleri,Arenga,engleri,Caryoteae,Coryphoideae,0,0,1,understorey,0,4,15,0,0,8,4.5,3,1.55,1.5,,,1.5,,,small,,orange to reddish,,,,
Arenga hastata,Arenga,hastata,Caryoteae,Coryphoideae,0,0,1,understorey,0,2,1.2,0,0,6,1,,,0.7,,,0.7,,,small,globose,purple-brown,,,,
Arenga hookeriana,Arenga,hookeriana,Caryoteae,Coryphoideae,0,0,1,understorey,0,0.5,2,0,0,10,1.3,0.8,0.55,1.2,,,1.2,,,small,globose,orange-red,,,,
Arenga listeri,Arenga,listeri,Caryoteae,Coryphoideae,0,0,1,canopy,1,20,30,0,0,14,7,5.5,1.55,1.5,1.3,1.7,1.00,,,small,globose,ripening white to pink to red,smooth,1,,Kew herbaria
Arenga longicarpa,Arenga,longicarpa,Caryoteae,Coryphoideae,0,0,1,understorey,0,3,7,0,0,,2.5,,,1.8,,,1,,,small,globose,purple,,,,
Arenga longipes,Arenga,longipes,Caryoteae,Coryphoideae,0,1,0,understorey,0,0.25,5,0,0,5,,,,,,,,,,,elongate,,,,,
Arenga micrantha,Arenga,micrantha,Caryoteae,Coryphoideae,0,0,1,understorey,1,2,15,0,0,,3,2,,,,,,,,,,,,,,
Arenga microcarpa,Arenga,microcarpa,Caryoteae,Coryphoideae,0,0,1,canopy,0,8,15,0,0,18,4,2.7,1.35,1.44,,,1.65,1.5,1.8,small,ovoid,"ripening white to red; red, bright red",,1,,Kew herbaria
Arenga mindorensis,Arenga,mindorensis,Caryoteae,Coryphoideae,0,1,0,understorey,0,0.3,3,0,0,4,,,,,,,,,,,globose,,,,,
Arenga obtusifolia,Arenga,obtusifolia,Caryoteae,Coryphoideae,0,0,1,canopy,0,20,30,0,0,15,11,10,,6,,,4,,,large,,yellowish green; blackish; yellowish,,,,
Arenga pinnata,Arenga,pinnata,Caryoteae,Coryphoideae,0,0,1,canopy,1,20,60,0,0,30,12,9,2.75,7,,,6,,,large,globose,"greenish, yellowish or orangish",,,,
Arenga plicata,Arenga,plicata,Caryoteae,Coryphoideae,0,0,1,understorey,0,1.5,3,0,0,,,,,,,,,,,,ovoid,,,,,
Arenga porphyrocarpa,Arenga,porphyrocarpa,Caryoteae,Coryphoideae,0,0,1,understorey,0,2.4,,0,0,,,,,1.5,,,,,,small,elongate,"reddish-purple to orange, shiny",,,,
Arenga retroflorescens,Arenga,retroflorescens,Caryoteae,Coryphoideae,0,1,0,understorey,0,0.8,3,0,0,6,,,,2.45,2.1,2.8,1.94,1.73,2.14,small,,red to brown,,,,Kew herbaria
Arenga ryukyuensis,Arenga,ryukyuensis,Caryoteae,Coryphoideae,0,0,1,understorey,0,2,20,0,0,,3,2,,1.8,,,1.8,,,small,,orange to reddish,,,,
Arenga talamauensis,Arenga,talamauensis,Caryoteae,Coryphoideae,0,0,1,understorey,0,2,,0,0,,12,,,,,,,,,,ovoid,,,,,
Arenga tremula,Arenga,tremula,Caryoteae,Coryphoideae,0,0,1,understorey,0,4,12,0,0,6,10,8,2.1,1.3,,,1.1,,,small,globose,deep red,,,,Kew herbaria
Arenga undulatifolia,Arenga,undulatifolia,Caryoteae,Coryphoideae,0,0,1,canopy,0,10,30,0,0,10,7,5,2.1,5,,,4.50,,,large,,ovoid grayish green color; young fruits green suffused with magenta; dark green,,,,Kew herbaria
Arenga westerhoutii,Arenga,westerhoutii,Caryoteae,Coryphoideae,0,0,1,canopy,1,20,60,0,0,15,8,7,,7,,,6,5,7,large,ovoid,greenish black; blackish,,,,
Arenga wightii,Arenga,wightii,Caryoteae,Coryphoideae,0,0,1,canopy,0,7,30,0,0,6,10,,,2.5,,,3,,,small,,greenish black,,,,
Asterogyne guianensis,Asterogyne,guianensis,Geonomateae,Arecoideae,0,0,1,understorey,1,3,5,0,0,18,1.2,0.9,0.65,2.5,,,1.5,,,small,globose,red,,,,Kew herbaria
Asterogyne martiana,Asterogyne,martiana,Geonomateae,Arecoideae,0,0,1,understorey,1,2,5,0,0,18,1,0.6,0.45,1,0.7,1.1,1,,,small,globose,reddish becommingblack at maturity,smooth,1,,
Asterogyne ramosa,Asterogyne,ramosa,Geonomateae,Arecoideae,0,0,1,understorey,1,3,8,0,0,,1,1,,,,,,,,,globose,,,,,
Asterogyne spicata,Asterogyne,spicata,Geonomateae,Arecoideae,0,0,1,canopy,1,8,5,0,0,25,1.35,1,0.4,,,,,,,,globose,,,,,
Asterogyne yaracuyense,Asterogyne,yaracuyense,Geonomateae,Arecoideae,0,0,1,canopy,0,8,8,0,0,31,1.2,1.2,,,,,,,,,ovoid,,,,,
Astrocaryum acaule,Astrocaryum,acaule,Cocoseae,Arecoideae,0,1,0,understorey,2,1,30,1,1,9,7,4,2.75,4,3.5,4.5,2.6,2.4,2.8,large,,yellow,,,,
Astrocaryum aculeatissimum,Astrocaryum,aculeatissimum,Cocoseae,Arecoideae,0,0,1,canopy,0,8,15,1,1,20,,,,5.5,5,6,3.5,3,4,large,,light to dark brown,,,,
Astrocaryum aculeatum,Astrocaryum,aculeatum,Cocoseae,Arecoideae,0,0,1,canopy,1,20,25,1,1,15,8.4,6.4,2.1,5.5,4.5,6.5,4,3.5,4.5,large,globose,"orange; greenish to yellowish, seed show (bird?)",smooth,,,Kew herbaria
Astrocaryum alatum,Astrocaryum,alatum,Cocoseae,Arecoideae,0,0,1,canopy,1,7,18,1,1,30,3,1.78,1.27,2.6,,,1.8,,,small,ovoid,"fruits spiny, green-brownish",,,,Kew herbaria
Astrocaryum campestre,Astrocaryum,campestre,Cocoseae,Arecoideae,0,1,0,understorey,2,0,,1,1,6,1.5,1.4,0.12,3.25,3,3.5,2.25,2,2.5,small,ovoid,yellowish-green,smooth,,,
